名称,类别,区域,板块,地址,房型,面积,总价,朝向
整租·金都美苑 3室2厅 南,金东区-金东区-金都美苑/110.00㎡/南/3室2厅2卫/中楼层（25层）,金东区,金东区,金都美苑,3室2厅2卫,110,3200,南
整租·奥克斯中央御府 3室2厅 南/北,婺城区-江南-奥克斯中央御府/89.00㎡/南北/3室2厅1卫/低楼层（16层）,婺城区,江南,奥克斯中央御府,3室2厅1卫,89,2700,南北
整租·湖塘月色 3室2厅 南,婺城区-湖海塘-湖塘月色/98.00㎡/南/3室2厅2卫/中楼层（11层）,婺城区,湖海塘,湖塘月色,3室2厅2卫,98,3500,南
整租·湖塘月色 3室2厅 南,婺城区-湖海塘-湖塘月色/89.00㎡/南/3室2厅1卫/低楼层（11层）,婺城区,湖海塘,湖塘月色,3室2厅1卫,89,3200,南
整租·金都美苑 3室2厅 南,金东区-金东区-金都美苑/110.00㎡/南/3室2厅2卫/中楼层（25层）,金东区,金东区,金都美苑,3室2厅2卫,110,3000,南
整租·金华万达广场SOHO 2室2厅 南,金东区-金东区-金华万达广场SOHO/68.00㎡/南/2室2厅1卫/高楼层（30层）,金东区,金东区,金华万达广场SOHO,2室2厅1卫,68,2500,南
整租·桂语云溪 3室2厅 南,永康市-永康市-桂语云溪/115.00㎡/南/3室2厅2卫/高楼层（17层）,永康市,永康市,桂语云溪,3室2厅2卫,115,3900,南
整租·红星金义天铂 3室2厅 南,金东区-金义都市新区-红星金义天铂/105.00㎡/南/3室2厅2卫/中楼层（18层）,金东区,金义都市新区,红星金义天铂,3室2厅2卫,105,2600,南
整租·金厦银湖城 1室1厅 南,婺城区-婺城新区-金厦银湖城/43.00㎡/南/1室1厅1卫/低楼层（18层）,婺城区,婺城新区,金厦银湖城,1室1厅1卫,43,1500,南
整租·时代花园(婺城区) 3室2厅 南/北,婺城区-江北-时代花园(婺城区)/136.00㎡/南北/3室2厅2卫/中楼层（18层）,婺城区,江北,时代花园(婺城区),3室2厅2卫,136,3800,南北
整租·华都大源 2室2厅 南/北,金东区-金东区-华都大源/85.00㎡/南北/2室2厅1卫/高楼层（15层）,金东区,金东区,华都大源,2室2厅1卫,85,2500,南北
整租·一方上和府 3室2厅 南/北,永康市-永康市-一方上和府/115.00㎡/南北/3室2厅2卫/低楼层（27层）,永康市,永康市,一方上和府,3室2厅2卫,115,3500,南北
整租·莲塘二区 1室0厅 西南,义乌市-北苑-莲塘二区/30.00㎡/西南/1室0厅1卫/中楼层（5层）,义乌市,北苑,莲塘二区,1室0厅1卫,30,1500,西南
整租·金都美苑 3室2厅 南,金东区-金东区-金都美苑/110.00㎡/南/3室2厅2卫/高楼层（25层）,金东区,金东区,金都美苑,3室2厅2卫,110,3800,南
整租·观湖蓝庭 4室2厅 南,婺城区-江南-观湖蓝庭/118.00㎡/南/4室2厅2卫/中楼层（9层）,婺城区,江南,观湖蓝庭,4室2厅2卫,118,3800,南
整租·怡景聚贤庭 2室1厅 南,婺城区-婺城新区-怡景聚贤庭/93.80㎡/南/2室1厅1卫/中楼层（20层）,婺城区,婺城新区,怡景聚贤庭,2室1厅1卫,93,2000,南
整租·保集蓝郡 2室2厅 南,婺城区-江南-保集蓝郡/72.00㎡/南/2室2厅1卫/高楼层（18层）,婺城区,江南,保集蓝郡,2室2厅1卫,72,2500,南
整租·丁香公馆 3室2厅 南,婺城区-江南-丁香公馆/89.00㎡/南/3室2厅1卫/低楼层（6层）,婺城区,江南,丁香公馆,3室2厅1卫,89,2500,南
整租·婺畔雅居（西区） 3室2厅 南,婺城区-江北-婺畔雅居（西区）/110.00㎡/南/3室2厅2卫/高楼层（23层）,婺城区,江北,婺畔雅居（西区）,3室2厅2卫,110,2800,南
整租·高山头小区 2室2厅 南/北,永康市-永康市-高山头小区/80.00㎡/南北/2室2厅1卫/中楼层（4层）,永康市,永康市,高山头小区,2室2厅1卫,80,1700,南北
整租·西京大厦 1室1厅 南,婺城区-江南-西京大厦/46.00㎡/南/1室1厅1卫/高楼层（20层）,婺城区,江南,西京大厦,1室1厅1卫,46,1300,南
整租·东晖苑 1室0厅 南,永康市-永康市-东晖苑/42.00㎡/南/1室0厅1卫/中楼层（27层）,永康市,永康市,东晖苑,1室0厅1卫,42,1400,南
整租·瑞城名座 1室1厅 南,婺城区-江南-瑞城名座/40.00㎡/南/1室1厅1卫/高楼层（9层）,婺城区,江南,瑞城名座,1室1厅1卫,40,1800,南
整租·意谐缤虹星城 3室2厅 南,婺城区-婺城新区-意谐缤虹星城/89.00㎡/南/3室2厅1卫/中楼层（31层）,婺城区,婺城新区,意谐缤虹星城,3室2厅1卫,89,1800,南
整租·婺畔雅居（西区） 2室1厅 南,婺城区-江北-婺畔雅居（西区）/65.00㎡/南/2室1厅1卫/低楼层（23层）,婺城区,江北,婺畔雅居（西区）,2室1厅1卫,65,2000,南
整租·金山华庭 3室2厅 南/北,金东区-金东区-金山华庭/104.00㎡/南北/3室2厅2卫/中楼层（31层）,金东区,金东区,金山华庭,3室2厅2卫,104,2000,南北
整租·保集湖海塘庄园北区 2室1厅 南,婺城区-湖海塘-保集湖海塘庄园北区/90.00㎡/南/2室1厅1卫/高楼层（32层）,婺城区,湖海塘,保集湖海塘庄园北区,2室1厅1卫,90,3600,南
整租·富力三江都荟 1室1厅 东,婺城区-江南-富力三江都荟/56.00㎡/东/1室1厅1卫/中楼层（24层）,婺城区,江南,富力三江都荟,1室1厅1卫,56,2100,东
整租·湖塘月色 3室2厅 南,婺城区-湖海塘-湖塘月色/107.00㎡/南/3室2厅1卫/低楼层（16层）,婺城区,湖海塘,湖塘月色,3室2厅1卫,107,2800,南
整租·永盛新阳光 2室1厅 南,婺城区-江南-永盛新阳光/92.00㎡/南/2室1厅2卫/中楼层（17层）,婺城区,江南,永盛新阳光,2室1厅2卫,92,2200,南
整租·富力三江都荟 3室2厅 南/北,婺城区-江南-富力三江都荟/122.00㎡/南北/3室2厅2卫/高楼层（11层）,婺城区,江南,富力三江都荟,3室2厅2卫,122,4500,南北
整租·红星天铂 3室2厅 南/北,婺城区-江南-红星天铂/110.00㎡/南北/3室2厅2卫/高楼层（17层）,婺城区,江南,红星天铂,3室2厅2卫,110,3450,南北
整租·兰桂院A区 2室2厅 南/北,婺城区-湖海塘-兰桂院A区/104.00㎡/南北/2室2厅1卫/低楼层（11层）,婺城区,湖海塘,兰桂院A区,2室2厅1卫,104,2400,南北
整租·飞凤路143弄 1室0厅 南,永康市-永康市-飞凤路143弄/30.00㎡/南/1室0厅0卫/低楼层（4层）,永康市,永康市,飞凤路143弄,1室0厅0卫,30,800,南
整租·新城云昱 3室2厅 东南,金东区-金义都市新区-新城云昱/98.00㎡/东南/3室2厅2卫/中楼层（24层）,金东区,金义都市新区,新城云昱,3室2厅2卫,98,2333,东南
整租·香格里拉城市花园 3室2厅 南/北,永康市-永康市-香格里拉城市花园/133.00㎡/南北/3室2厅1卫/低楼层（11层）,永康市,永康市,香格里拉城市花园,3室2厅1卫,133,2800,南北
整租·春盛小区 1室0厅 东南/南,义乌市-北苑-春盛小区/30.00㎡/东南南/1室0厅1卫/中楼层（5层）,义乌市,北苑,春盛小区,1室0厅1卫,30,1300,东南南
整租·春盛小区 1室1厅 东南/南,义乌市-北苑-春盛小区/60.00㎡/东南南/1室1厅1卫/高楼层（5层）,义乌市,北苑,春盛小区,1室1厅1卫,60,3180,东南南
整租·九铃东路3010号 2室2厅 南/北,永康市-永康市-九铃东路3010号/90.00㎡/南北/2室2厅2卫/中楼层（7层）,永康市,永康市,九铃东路3010号,2室2厅2卫,90,1800,南北
整租·飞凤路143弄 1室1厅 东南,永康市-永康市-飞凤路143弄/40.00㎡/东南/1室1厅1卫/低楼层（4层）,永康市,永康市,飞凤路143弄,1室1厅1卫,40,1400,东南
整租·万固云泰·璟园 3室2厅 南,金东区-金东区-万固云泰·璟园/105.00㎡/南/3室2厅2卫/低楼层（18层）,金东区,金东区,万固云泰·璟园,3室2厅2卫,105,1300,南
整租·南国名城 3室2厅 南/北,婺城区-江南-南国名城/132.00㎡/南北/3室2厅2卫/低楼层（15层）,婺城区,江南,南国名城,3室2厅2卫,132,3000,南北
整租·书香名邸 1室1厅 南/北,婺城区-江北-书香名邸/50.00㎡/南北/1室1厅1卫/中楼层（16层）,婺城区,江北,书香名邸,1室1厅1卫,50,1700,南北
整租·金华万达广场SOHO 1室1厅 南,金东区-金东区-金华万达广场SOHO/41.00㎡/南/1室1厅1卫/高楼层（30层）,金东区,金东区,金华万达广场SOHO,1室1厅1卫,41,1200,南
整租·金都美地 2室2厅 南/北,金东区-金东区-金都美地/90.00㎡/南北/2室2厅1卫/中楼层（18层）,金东区,金东区,金都美地,2室2厅1卫,90,2000,南北
整租·金华万达广场SOHO 1室1厅 南/北,金东区-金东区-金华万达广场SOHO/41.00㎡/南北/1室1厅1卫/中楼层（30层）,金东区,金东区,金华万达广场SOHO,1室1厅1卫,41,1280,南北
整租·保利·天汇 4室2厅 南,婺城区-江北-保利·天汇/142.00㎡/南/4室2厅2卫/高楼层（26层）,婺城区,江北,保利·天汇,4室2厅2卫,142,5200,南
整租·金华万达广场SOHO 1室1厅 东,金东区-金东区-金华万达广场SOHO/42.00㎡/东/1室1厅1卫/中楼层（30层）,金东区,金东区,金华万达广场SOHO,1室1厅1卫,42,1280,东
整租·人才公寓 1室1厅 南/北,永康市-永康市-人才公寓/62.00㎡/南北/1室1厅1卫/低楼层（31层）,永康市,永康市,人才公寓,1室1厅1卫,62,2800,南北
整租·苏桂院 2室2厅 南,婺城区-湖海塘-苏桂院/98.00㎡/南/2室2厅1卫/高楼层（11层）,婺城区,湖海塘,苏桂院,2室2厅1卫,98,2500,南
整租·泰地金水湾 3室2厅 南,婺城区-湖海塘-泰地金水湾/89.00㎡/南/3室2厅1卫/中楼层（18层）,婺城区,湖海塘,泰地金水湾,3室2厅1卫,89,2000,南
整租·雅苑(婺城区) 3室2厅 南,婺城区-江南-雅苑(婺城区)/126.00㎡/南/3室2厅2卫/中楼层（7层）,婺城区,江南,雅苑(婺城区),3室2厅2卫,126,3000,南
整租·满庭芳 3室2厅 南/北,婺城区-江南-满庭芳/118.00㎡/南北/3室2厅2卫/高楼层（7层）,婺城区,江南,满庭芳,3室2厅2卫,118,2000,南北
整租·新青年公馆 2室2厅 南,婺城区-江南-新青年公馆/78.00㎡/南/2室2厅1卫/高楼层（17层）,婺城区,江南,新青年公馆,2室2厅1卫,78,2200,南
整租·百盛大厦 4室2厅 南/北,婺城区-江南-百盛大厦/203.00㎡/南北/4室2厅2卫/中楼层（13层）,婺城区,江南,百盛大厦,4室2厅2卫,203,3200,南北
整租·金都美地 2室2厅 南,金东区-金东区-金都美地/85.00㎡/南/2室2厅2卫/低楼层（24层）,金东区,金东区,金都美地,2室2厅2卫,85,2500,南
整租·星月花园 1室1厅 南/北,婺城区-江南-星月花园/48.00㎡/南北/1室1厅1卫/中楼层（16层）,婺城区,江南,星月花园,1室1厅1卫,48,1800,南北
整租·秀水园 1室1厅 南/北,婺城区-婺城新区-秀水园/36.00㎡/南北/1室1厅1卫/中楼层（11层）,婺城区,婺城新区,秀水园,1室1厅1卫,36,1160,南北
整租·广天绿城花园 2室2厅 南,婺城区-江南-广天绿城花园/92.00㎡/南/2室2厅1卫/高楼层（7层）,婺城区,江南,广天绿城花园,2室2厅1卫,92,2100,南
整租·金都美苑 3室2厅 南,金东区-金东区-金都美苑/110.00㎡/南/3室2厅2卫/高楼层（27层）,金东区,金东区,金都美苑,3室2厅2卫,110,3300,南
整租·金地峰汇 3室2厅 南,婺城区-湖海塘-金地峰汇/108.00㎡/南/3室2厅2卫/高楼层（15层）,婺城区,湖海塘,金地峰汇,3室2厅2卫,108,3800,南
整租·光明湖海城市花园 3室2厅 南,婺城区-湖海塘-光明湖海城市花园/89.00㎡/南/3室2厅1卫/高楼层（27层）,婺城区,湖海塘,光明湖海城市花园,3室2厅1卫,89,2600,南
整租·金都美苑 2室2厅 南,金东区-金东区-金都美苑/85.00㎡/南/2室2厅1卫/中楼层（27层）,金东区,金东区,金都美苑,2室2厅1卫,85,3200,南
整租·雅苑(婺城区) 3室2厅 南,婺城区-江南-雅苑(婺城区)/105.00㎡/南/3室2厅2卫/高楼层（6层）,婺城区,江南,雅苑(婺城区),3室2厅2卫,105,2500,南
整租·云天广场 1室1厅 南,婺城区-江南-云天广场/44.00㎡/南/1室1厅1卫/中楼层（12层）,婺城区,江南,云天广场,1室1厅1卫,44,1700,南
整租·科信大厦 3室2厅 南,婺城区-江南-科信大厦/126.00㎡/南/3室2厅2卫/低楼层（6层）,婺城区,江南,科信大厦,3室2厅2卫,126,2600,南
整租·春天国际公寓 1室1厅 南,婺城区-江北-春天国际公寓/67.00㎡/南/1室1厅1卫/中楼层（31层）,婺城区,江北,春天国际公寓,1室1厅1卫,67,1800,南
整租·金山大厦 2室2厅 南/北,金东区-金东区-金山大厦/76.00㎡/南北/2室2厅1卫/低楼层（28层）,金东区,金东区,金山大厦,2室2厅1卫,76,1750,南北
整租·婺江印月 2室2厅 南,婺城区-江北-婺江印月/83.00㎡/南/2室2厅1卫/低楼层（18层）,婺城区,江北,婺江印月,2室2厅1卫,83,3200,南
整租·金都美苑 3室2厅 南/北,金东区-金东区-金都美苑/136.00㎡/南北/3室2厅2卫/低楼层（25层）,金东区,金东区,金都美苑,3室2厅2卫,136,3500,南北
整租·凤凰家园 2室2厅 南,婺城区-江北-凤凰家园/95.00㎡/南/2室2厅1卫/高楼层（6层）,婺城区,江北,凤凰家园,2室2厅1卫,95,2000,南
整租·华庭常青墅 2室1厅 南,婺城区-秋滨工业区-华庭常青墅/87.00㎡/南/2室1厅1卫/中楼层（23层）,婺城区,秋滨工业区,华庭常青墅,2室1厅1卫,87,2200,南
整租·保利·天汇 3室2厅 南,婺城区-江北-保利·天汇/120.00㎡/南/3室2厅2卫/低楼层（18层）,婺城区,江北,保利·天汇,3室2厅2卫,120,4500,南
整租·篁园新村住宅区 1室0厅 东南/南,义乌市-稠城-篁园新村住宅区/30.00㎡/东南南/1室0厅1卫/中楼层（5层）,义乌市,稠城,篁园新村住宅区,1室0厅1卫,30,1400,东南南
整租·高山头小区 1室0厅 南/北,永康市-永康市-高山头小区/25.00㎡/南北/1室0厅1卫/中楼层（4层）,永康市,永康市,高山头小区,1室0厅1卫,25,1100,南北
整租·新城佳苑 3室2厅 南,婺城区-江南-新城佳苑/123.00㎡/南/3室2厅2卫/高楼层（6层）,婺城区,江南,新城佳苑,3室2厅2卫,123,2500,南
整租·城西路 1室0厅 南/北,永康市-永康市-城西路/30.00㎡/南北/1室0厅1卫/高楼层（6层）,永康市,永康市,城西路,1室0厅1卫,30,850,南北
整租·东街新村 3室2厅 南/北,永康市-永康市-东街新村/93.00㎡/南北/3室2厅1卫/高楼层（6层）,永康市,永康市,东街新村,3室2厅1卫,93,1600,南北
整租·湖塘月色 3室2厅 南,婺城区-湖海塘-湖塘月色/98.00㎡/南/3室2厅2卫/低楼层（10层）,婺城区,湖海塘,湖塘月色,3室2厅2卫,98,3200,南
整租·中基▪幸福里 3室2厅 南/北,婺城区-江南-中基▪幸福里/100.00㎡/南北/3室2厅1卫/中楼层（7层）,婺城区,江南,中基▪幸福里,3室2厅1卫,100,2800,南北
整租·意谐缤虹星城 3室2厅 南/北,婺城区-婺城新区-意谐缤虹星城/89.00㎡/南北/3室2厅1卫/中楼层（33层）,婺城区,婺城新区,意谐缤虹星城,3室2厅1卫,89,1400,南北
整租·意谐缤虹星城 3室2厅 南/北,婺城区-婺城新区-意谐缤虹星城/89.00㎡/南北/3室2厅1卫/高楼层（33层）,婺城区,婺城新区,意谐缤虹星城,3室2厅1卫,89,1900,南北
整租·金都花园 3室2厅 南,婺城区-江南-金都花园/112.00㎡/南/3室2厅1卫/高楼层（7层）,婺城区,江南,金都花园,3室2厅1卫,112,2300,南
整租·永盛新阳光 2室1厅 南,婺城区-江南-永盛新阳光/82.00㎡/南/2室1厅1卫/低楼层（6层）,婺城区,江南,永盛新阳光,2室1厅1卫,82,2200,南
整租·海悦华府 3室2厅 南,婺城区-江北-海悦华府/98.00㎡/南/3室2厅2卫/高楼层（19层）,婺城区,江北,海悦华府,3室2厅2卫,98,3000,南
整租·高镇 1室1厅 东/西,永康市-永康市-高镇/30.00㎡/东西/1室1厅1卫/低楼层（4层）,永康市,永康市,高镇,1室1厅1卫,30,1300,东西
整租·新世纪大厦 1室1厅 南,婺城区-江南-新世纪大厦/41.00㎡/南/1室1厅1卫/中楼层（12层）,婺城区,江南,新世纪大厦,1室1厅1卫,41,1200,南
整租·光明湖海城市花园 3室2厅 南/北,婺城区-湖海塘-光明湖海城市花园/89.00㎡/南北/3室2厅1卫/中楼层（27层）,婺城区,湖海塘,光明湖海城市花园,3室2厅1卫,89,2700,南北
整租·永盛星海花园 1室1厅 南,婺城区-江南-永盛星海花园/43.00㎡/南/1室1厅1卫/高楼层（10层）,婺城区,江南,永盛星海花园,1室1厅1卫,43,1650,南
整租·都市绿邸 5室2厅 南,金东区-金义都市新区-都市绿邸/260.00㎡/南/5室2厅3卫/低楼层（4层）,金东区,金义都市新区,都市绿邸,5室2厅3卫,260,6666,南
整租·万固广场 4室2厅 南/北,婺城区-江北-万固广场/121.00㎡/南北/4室2厅2卫/中楼层（11层）,婺城区,江北,万固广场,4室2厅2卫,121,3300,南北
整租·金正花园 5室2厅 复式 南/北,婺城区-江北-金正花园/205.22㎡/南北/5室2厅2卫/低楼层（7层）,婺城区,江北,金正花园,5室2厅2卫,205,4000,南北
整租·滨江悦虹湾北区 3室2厅 南,婺城区-湖海塘-滨江悦虹湾北区/97.00㎡/南/3室2厅2卫/中楼层（11层）,婺城区,湖海塘,滨江悦虹湾北区,3室2厅2卫,97,3300,南
整租·滨江·金色蓝庭 3室2厅 南,婺城区-湖海塘-滨江·金色蓝庭/89.00㎡/南/3室2厅1卫/高楼层（14层）,婺城区,湖海塘,滨江·金色蓝庭,3室2厅1卫,89,2200,南
整租·滨江悦虹湾北区 3室2厅 南/北,婺城区-湖海塘-滨江悦虹湾北区/96.00㎡/南北/3室2厅2卫/中楼层（11层）,婺城区,湖海塘,滨江悦虹湾北区,3室2厅2卫,96,3200,南北
整租·紫丁花园 3室2厅 南,婺城区-湖海塘-紫丁花园/110.00㎡/南/3室2厅1卫/低楼层（18层）,婺城区,湖海塘,紫丁花园,3室2厅1卫,110,2800,南
整租·申华大厦 1室1厅 南,婺城区-江南-申华大厦/60.00㎡/南/1室1厅1卫/中楼层（30层）,婺城区,江南,申华大厦,1室1厅1卫,60,2100,南
整租·紫丁花园 3室2厅 南/北,婺城区-湖海塘-紫丁花园/110.00㎡/南北/3室2厅2卫/低楼层（16层）,婺城区,湖海塘,紫丁花园,3室2厅2卫,110,3000,南北
整租·申华大厦 1室1厅 南,婺城区-江南-申华大厦/50.00㎡/南/1室1厅1卫/高楼层（30层）,婺城区,江南,申华大厦,1室1厅1卫,50,1700,南
整租·月亮湾 3室2厅 南/北,婺城区-江南-月亮湾/120.00㎡/南北/3室2厅2卫/高楼层（6层）,婺城区,江南,月亮湾,3室2厅2卫,120,2200,南北
整租·凤凰城青年汇 1室1厅 南/北,婺城区-江北-凤凰城青年汇/67.00㎡/南北/1室1厅1卫/中楼层（11层）,婺城区,江北,凤凰城青年汇,1室1厅1卫,67,1600,南北
整租·康西花园 3室2厅 南,婺城区-江南-康西花园/135.00㎡/南/3室2厅2卫/低楼层（6层）,婺城区,江南,康西花园,3室2厅2卫,135,3000,南
整租·铂凯花园 3室2厅 南/北,金东区-金东区-铂凯花园/86.00㎡/南北/3室2厅1卫/中楼层（11层）,金东区,金东区,铂凯花园,3室2厅1卫,86,1350,南北
整租·东方国际公馆 2室2厅 南,婺城区-江北-东方国际公馆/100.00㎡/南/2室2厅1卫/中楼层（26层）,婺城区,江北,东方国际公馆,2室2厅1卫,100,2600,南
整租·金都美地 2室2厅 南,金东区-金东区-金都美地/90.00㎡/南/2室2厅1卫/低楼层（18层）,金东区,金东区,金都美地,2室2厅1卫,90,2300,南
整租·金都美地 3室2厅 南,金东区-金东区-金都美地/140.00㎡/南/3室2厅2卫/低楼层（18层）,金东区,金东区,金都美地,3室2厅2卫,140,3500,南
整租·新世纪花园 1室1厅 南/北,婺城区-江南-新世纪花园/38.00㎡/南北/1室1厅1卫/中楼层（12层）,婺城区,江南,新世纪花园,1室1厅1卫,38,1500,南北
整租·银泰广场 1室1厅 南,婺城区-江南-银泰广场/38.00㎡/南/1室1厅1卫/高楼层（13层）,婺城区,江南,银泰广场,1室1厅1卫,38,1200,南
整租·苏桂院 1室1厅 南,婺城区-湖海塘-苏桂院/52.00㎡/南/1室1厅1卫/中楼层（14层）,婺城区,湖海塘,苏桂院,1室1厅1卫,52,1600,南
整租·新都会 3室2厅 南,婺城区-江南-新都会/143.00㎡/南/3室2厅2卫/低楼层（33层）,婺城区,江南,新都会,3室2厅2卫,143,3200,南
整租·百事达公寓 1室1厅 南/北,婺城区-江北-百事达公寓/36.00㎡/南北/1室1厅1卫/低楼层（15层）,婺城区,江北,百事达公寓,1室1厅1卫,36,1100,南北
整租·金山华庭 3室2厅 北,金东区-金东区-金山华庭/104.00㎡/北/3室2厅2卫/中楼层（24层）,金东区,金东区,金山华庭,3室2厅2卫,104,2500,北
整租·四海铭门 3室2厅 南/北,金东区-金义都市新区-四海铭门/117.00㎡/南北/3室2厅2卫/中楼层（16层）,金东区,金义都市新区,四海铭门,3室2厅2卫,117,2750,南北
整租·海悦华府 4室2厅 南,婺城区-江北-海悦华府/143.00㎡/南/4室2厅2卫/低楼层（16层）,婺城区,江北,海悦华府,4室2厅2卫,143,6000,南
整租·滨江悦虹湾北区 3室2厅 南,婺城区-湖海塘-滨江悦虹湾北区/96.00㎡/南/3室2厅2卫/高楼层（11层）,婺城区,湖海塘,滨江悦虹湾北区,3室2厅2卫,96,3600,南
整租·香堤意墅 2室2厅 南,金东区-金东区-香堤意墅/78.00㎡/南/2室2厅1卫/低楼层（33层）,金东区,金东区,香堤意墅,2室2厅1卫,78,1750,南
整租·金地峰汇 3室2厅 南,婺城区-湖海塘-金地峰汇/108.00㎡/南/3室2厅2卫/高楼层（17层）,婺城区,湖海塘,金地峰汇,3室2厅2卫,108,3500,南
整租·金华万达广场SOHO 1室1厅 南,金东区-金东区-金华万达广场SOHO/50.00㎡/南/1室1厅1卫/中楼层（30层）,金东区,金东区,金华万达广场SOHO,1室1厅1卫,50,1500,南
整租·东方巴黎 2室2厅 南,婺城区-江北-东方巴黎/120.00㎡/南/2室2厅1卫/中楼层（25层）,婺城区,江北,东方巴黎,2室2厅1卫,120,3200,南
整租·青青家园 2室2厅 南/北,婺城区-秋滨工业区-青青家园/110.00㎡/南北/2室2厅1卫/高楼层（6层）,婺城区,秋滨工业区,青青家园,2室2厅1卫,110,2200,南北
整租·金都美苑 3室2厅 南,金东区-金东区-金都美苑/110.00㎡/南/3室2厅2卫/高楼层（25层）,金东区,金东区,金都美苑,3室2厅2卫,110,3200,南
整租·北苑小区(婺城区) 3室2厅 南,婺城区-江北-北苑小区(婺城区)/91.00㎡/南/3室2厅1卫/高楼层（6层）,婺城区,江北,北苑小区(婺城区),3室2厅1卫,91,1900,南
整租·望春小区 4室2厅 南/北,永康市-永康市-望春小区/111.00㎡/南北/4室2厅1卫/高楼层（7层）,永康市,永康市,望春小区,4室2厅1卫,111,1916,南北
整租·滨江·金色蓝庭 3室2厅 南/北,婺城区-湖海塘-滨江·金色蓝庭/89.00㎡/南北/3室2厅1卫/高楼层（13层）,婺城区,湖海塘,滨江·金色蓝庭,3室2厅1卫,89,2800,南北
整租·金都美地 3室2厅 南/北,金东区-金东区-金都美地/110.00㎡/南北/3室2厅1卫/中楼层（18层）,金东区,金东区,金都美地,3室2厅1卫,110,2500,南北
整租·南滨花园 3室2厅 南,婺城区-江南-南滨花园/136.00㎡/南/3室2厅2卫/中楼层（7层）,婺城区,江南,南滨花园,3室2厅2卫,136,3200,南
整租·金报步阳华府 3室2厅 南,金东区-金东区-金报步阳华府/89.00㎡/南/3室2厅1卫/中楼层（17层）,金东区,金东区,金报步阳华府,3室2厅1卫,89,3000,南
整租·保亿湖风雅园 3室2厅 南,婺城区-湖海塘-保亿湖风雅园/89.00㎡/南/3室2厅2卫/高楼层（12层）,婺城区,湖海塘,保亿湖风雅园,3室2厅2卫,89,2500,南
整租·中天公元诚品 3室2厅 南/北,金东区-金东区-中天公元诚品/89.00㎡/南北/3室2厅2卫/高楼层（17层）,金东区,金东区,中天公元诚品,3室2厅2卫,89,2200,南北
整租·滨江悦虹湾北区 3室2厅 南,婺城区-湖海塘-滨江悦虹湾北区/97.00㎡/南/3室2厅2卫/低楼层（11层）,婺城区,湖海塘,滨江悦虹湾北区,3室2厅2卫,97,3400,南
整租·新都会 3室2厅 南,婺城区-江南-新都会/141.00㎡/南/3室2厅2卫/低楼层（33层）,婺城区,江南,新都会,3室2厅2卫,141,3800,南
整租·滨江·金色蓝庭 3室2厅 南,婺城区-湖海塘-滨江·金色蓝庭/89.00㎡/南/3室2厅1卫/中楼层（14层）,婺城区,湖海塘,滨江·金色蓝庭,3室2厅1卫,89,2650,南
整租·南滨花园 3室2厅 南,婺城区-江南-南滨花园/136.00㎡/南/3室2厅1卫/中楼层（7层）,婺城区,江南,南滨花园,3室2厅1卫,136,3200,南
整租·当代华府 3室2厅 南,婺城区-江南-当代华府/120.00㎡/南/3室2厅2卫/中楼层（7层）,婺城区,江南,当代华府,3室2厅2卫,120,3600,南
整租·湖塘月色 3室2厅 南/北,婺城区-湖海塘-湖塘月色/107.00㎡/南北/3室2厅2卫/高楼层（15层）,婺城区,湖海塘,湖塘月色,3室2厅2卫,107,3200,南北
整租·金华万达广场SOHO 1室0厅 南,金东区-金东区-金华万达广场SOHO/41.00㎡/南/1室0厅1卫/中楼层（30层）,金东区,金东区,金华万达广场SOHO,1室0厅1卫,41,1400,南
整租·广润翰城 4室2厅 南,金东区-金东区-广润翰城/144.00㎡/南/4室2厅2卫/低楼层（28层）,金东区,金东区,广润翰城,4室2厅2卫,144,2300,南
整租·怡景聚贤庭 1室1厅 南/北,婺城区-婺城新区-怡景聚贤庭/43.00㎡/南北/1室1厅1卫/中楼层（20层）,婺城区,婺城新区,怡景聚贤庭,1室1厅1卫,43,1300,南北
整租·当代华府 3室2厅 南/北,婺城区-江南-当代华府/125.00㎡/南北/3室2厅2卫/低楼层（7层）,婺城区,江南,当代华府,3室2厅2卫,125,3000,南北
整租·江南悦府 3室2厅 南/北,婺城区-江南-江南悦府/89.00㎡/南北/3室2厅1卫/中楼层（18层）,婺城区,江南,江南悦府,3室2厅1卫,89,2400,南北
整租·丽州一品 2室2厅 南,永康市-永康市-丽州一品/85.00㎡/南/2室2厅1卫/低楼层（13层）,永康市,永康市,丽州一品,2室2厅1卫,85,3600,南
整租·华都大源 3室2厅 南,金东区-金东区-华都大源/110.00㎡/南/3室2厅2卫/中楼层（34层）,金东区,金东区,华都大源,3室2厅2卫,110,2900,南
整租·金地格林春晓 3室2厅 南,婺城区-湖海塘-金地格林春晓/127.00㎡/南/3室2厅1卫/高楼层（7层）,婺城区,湖海塘,金地格林春晓,3室2厅1卫,127,4500,南
整租·下王三区 1室0厅 东南,义乌市-江东-下王三区/30.00㎡/东南/1室0厅1卫/中楼层（4层）,义乌市,江东,下王三区,1室0厅1卫,30,1450,东南
整租·保集外滩 3室2厅 南,金东区-金东区-保集外滩/89.00㎡/南/3室2厅1卫/中楼层（11层）,金东区,金东区,保集外滩,3室2厅1卫,89,2800,南
整租·昆仑大厦 1室1厅 南,婺城区-婺城新区-昆仑大厦/48.00㎡/南/1室1厅1卫/中楼层（23层）,婺城区,婺城新区,昆仑大厦,1室1厅1卫,48,1500,南
